492,540,8847,540,-1.91,0.97
493,541,8593,541,-1.898,-0.876
494,542,8886,45EpsCas,-1.913,1.111
495,543,8814,55And,-1.908,0.711
496,544,8796,2AlpTri,-1.907,0.516
497,546,8832,5Gam2Ari,-1.909,0.337
498,547,8778,547,-1.906,-0.295
499,548,9009,46OmeCas,-1.92,1.199
500,549,8833,111XiPsc,-1.909,0.056
501,550,8366,Tau2Hyi,-1.884,-1.399
502,551,8922,551,-1.915,0.71
503,552,8930,552,-1.915,0.648
504,553,8903,6BetAri,-1.914,0.363
505,554,8820,554,-1.908,-0.674
506,555,8837,PsiPhe,-1.91,-0.808
507,557,9021,56And,-1.921,0.65
508,558,8882,PhiPhe,-1.913,-0.742
509,559,8993,7Ari,-1.919,0.412
510,560,8998,560,-1.919,0.032
511,561,9220,561,-1.931,1.077
512,563,9110,8IotAri,-1.926,0.311
513,564,9132,564,-1.927,0.485
514,565,9061,56Cet,-1.923,-0.393
515,566,9007,ChiEri,-1.92,-0.901
516,567,9312,567,-1.936,1.128
517,568,9222,3Per,-1.931,0.859
518,569,9153,9LamAri,-1.928,0.412
519,570,8928,Eta2Hyi,-1.915,-1.181
520,571,8983,571,-1.919,-1.062
521,572,9568,572,-1.95,1.36
522,573,9085,573,-1.924,-0.903
523,574,9095,574,-1.925,-0.827
524,575,9480,48Cas,-1.946,1.238
525,576,9207,576,-1.931,-0.577
526,577,9307,577,-1.936,0.368
527,578,9295,578,-1.935,0.215
528,579,9586,579,-1.951,1.289
529,580,9598,50Cas,-1.952,1.264
530,581,9727,47Cas,-1.96,1.349
531,582,9353,112Psc,-1.938,0.054
532,583,9326,57Cet,-1.936,-0.363
533,584,9149,584,-1.928,-1.142
534,585,9347,59UpsCet,-1.937,-0.368
535,586,9564,52Cas,-1.95,1.133
536,587,9372,587,-1.939,-0.149
537,588,9313,588,-1.936,-0.734
538,589,9573,53Cas,-1.95,1.124
539,590,9505,4Per,-1.947,0.951
540,591,9236,AlpHyi,-1.932,-1.075
541,592,9763,49Cas,-1.961,1.328
542,593,8991,SigHyi,-1.919,-1.367
543,594,9440,PiFor,-1.943,-0.524
544,595,9487,113AlpPsc,-1.946,0.048
545,597,10054,597,-1.978,1.419
546,599,9570,3EpsTri,-1.95,0.581
547,600,9318,600,-1.936,-1.153
548,601,9533,601,-1.949,0.235
549,602,9459,ChiPhe,-1.945,-0.78
550,603,9640,57Gam1And,-1.954,0.739
551,605,9621,10Ari,-1.953,0.453
552,606,9521,606,-1.948,-0.518
553,607,9589,60Cet,-1.951,0.002
554,608,9572,608,-1.95,-0.267
555,609,9627,609,-1.954,0.319
556,610,9631,61Cet,-1.954,-0.006
557,611,9622,611,-1.953,-0.072
558,612,9677,NuFor,-1.957,-0.511
559,613,9836,12KapAri,-1.966,0.395
